DOMAIN	CLUSTER
benefitsincard.com	Campaign_A
bennha.com	Campaign_A
beradar.com	Campaign_A
besdbuy.com	Campaign_A
bestlovequotes.info	Campaign_A
bestnetzero.com	Campaign_A
bestwesternhotelalbufera.com	Campaign_A
betingtips.com	Campaign_A
bettycocker.com	Campaign_A
bever-chew.info	Campaign_A
beybladebettle.com	Campaign_A
bfmmarkets.com	Campaign_A
bgbeatle.com	Campaign_A
bguide.info	Campaign_A
bhandhan.com	Campaign_A
bhealthynow.info	Campaign_A
bibng.com	Campaign_A
bilenor.com	Campaign_A
biosgrows.info	Campaign_A
bitaddress.info	Campaign_A
bitcoincompass.info	Campaign_A
bithosting.info	Campaign_A
bitlib.net	Campaign_A
blobzone.com	Campaign_A
blockchani.info	Campaign_A
blueexpress.com	Campaign_A
bluepistons.com	Campaign_A
bnbabes.net	Campaign_A
bohchnout.info	Campaign_A
boniboni.com	Campaign_A
booksinternational.com	Campaign_A
bostonmapersonalinjuryattorney.net	Campaign_A
bowflec.com	Campaign_A
boysonyourscreen.net	Campaign_A
bpdresources.com	Campaign_A
brazilunblock.info	Campaign_A
brillianceamazingfactor.info	Campaign_A
broomkpark.info	Campaign_A
browse.net	Campaign_A
btrackrofpors.info	Campaign_A
bugele.info	Campaign_A
bukinist.info	Campaign_A
bundlemetafarm.com	Campaign_A
buonchuyen.info	Campaign_A
byoumy.info	Campaign_A
caiptalone360.com	Campaign_A
calcaostcu.org	Campaign_A
calendari2012.com	Campaign_A
caleta.net	Campaign_A
calme.info	Campaign_A
cananalcaracol.com	Campaign_A
caratulas.info	Campaign_A
careerbulider.com	Campaign_A
carmuffler.net	Campaign_A
cartonnetworkarbic.com	Campaign_A
cartoomnnetwork.com	Campaign_A
cartoonnetworkbrasil.com	Campaign_A
catravelsmart.com	Campaign_A
cbmax.com	Campaign_A
cbssorts.com	Campaign_A
cc2cc.info	Campaign_A
ceaders.net	Campaign_A
celebritysurgery.org	Campaign_A
centrallaboratorybundle.com	Campaign_A
charloutterousse.com	Campaign_A
chemia-gimnazjum.info	Campaign_A
cherninsshoezone.com	Campaign_A
christianmusicfinder.com	Campaign_A
chrome-secure.info	Campaign_A
cloudhosting-network241.info	Campaign_A
clubhunter.info	Campaign_A
cnbo.info	Campaign_A
collectivegap.info	Campaign_A
comdexcipa.info	Campaign_A
com-freebie.info	Campaign_A
companiainternational.com	Campaign_A
comunite.info	Campaign_A
cooctail.com	Campaign_A
cpapapa.info	Campaign_A
crapperie.com	Campaign_A
craquesdaportuguesa.com	Campaign_A
crateandbarrels.com	Campaign_A
crazygallery.info	Campaign_A
creativehelp.com	Campaign_A
crushfox.net	Campaign_A
csplus.info	Campaign_A
cugak.com	Campaign_A
cumliesta.com	Campaign_A
customnink.com	Campaign_A
cwaniak.info	Campaign_A
cyhase.com	Campaign_A
daddysonfack.com	Campaign_A
dadonson.com	Campaign_A
dailygazette.info	Campaign_A
dailymoneyupdt.info	Campaign_A
dailynsfwhd.com	Campaign_A
dakotahtoys.com	Campaign_A
daminospizza.com	Campaign_A
dante-models.com	Campaign_A
darlenesilva.com	Campaign_A
darlingtonbraves.com	Campaign_A
dastf.info	Campaign_A
datentarife.info	Campaign_A
datingss.info	Campaign_A
datsfree.info	Campaign_A
daylightmotorsinc.com	Campaign_A
dbscans.com	Campaign_A
ddtak.com	Campaign_A
deepfryers.info	Campaign_A
dermaweb.net	Campaign_A
destinsdream.com	Campaign_A
deutschecd.com	Campaign_A
dgfas.info	Campaign_A
dhcdo.com	Campaign_A
diaryhub.com	Campaign_A
dibujosmanga.com	Campaign_A
dietaney.info	Campaign_A
digitalgroup.info	Campaign_A
digitalkids.info	Campaign_A
directivi.com	Campaign_A
disasterflorida.org	Campaign_A
discorverykids.com	Campaign_A
discountanimedvd.com	Campaign_A
discoveryespanol.com	Campaign_A
disneycollegeprograms.com	Campaign_A
disnymovierewards.com	Campaign_A
ditymechanics.com	Campaign_A
djenema.info	Campaign_A
djpunjaab.com	Campaign_A
djsenol.com	Campaign_A
dmobi.info	Campaign_A
doctorette.info	Campaign_A
dogeminer.info	Campaign_A
donnasdvds.com	Campaign_A
donpennington.info	Campaign_A
doonstang.com	Campaign_A
downmusic.org	Campaign_A
downonthedeck.com	Campaign_A
downyoutube.com	Campaign_A
drare.info	Campaign_A
drawnincest.com	Campaign_A
dreamofmature.com	Campaign_A
dropboxd.com	Campaign_A
dscoders.com	Campaign_A
durangomexico.info	Campaign_A
dutunudutu.info	Campaign_A
dytoshared.com	Campaign_A
earlychildren.com	Campaign_A
earth-dancing.com	Campaign_A
eastxoutdoors.com	Campaign_A
ecce.info	Campaign_A
eddiebauwer.com	Campaign_A
edit-friendster.com	Campaign_A
eebudy.com	Campaign_A
eighteenboys.net	Campaign_A
elctrolux.com	Campaign_A
eldoar.com	Campaign_A
elmananadevalles.com	Campaign_A
emilyslove.org	Campaign_A
empiresrts.com	Campaign_A
emulegion.info	Campaign_A
energeticvalues.com	Campaign_A
engadine.info	Campaign_A
english4ksa.com	Campaign_A
enoughts.info	Campaign_A
entnews.com	Campaign_A
eresfeo.com	Campaign_A
euro-news.info	Campaign_A
eventbrte.com	Campaign_A
eveonlinempire.com	Campaign_A
evertherenous.info	Campaign_A
everybodylovesramond.com	Campaign_A
examroom.info	Campaign_A
ez20snow.com	Campaign_A
ezshopcarribean.com	Campaign_A
face-copyright.org	Campaign_A
faithbrown.com	Campaign_A
fajos.info	Campaign_A
famme.com	Campaign_A
farace.info	Campaign_A
farfectch.com	Campaign_A
farmcumm.com	Campaign_A
farmewg.org	Campaign_A
fasan.info	Campaign_A
fastflashupdates.com	Campaign_A
fastmathstudents.com	Campaign_A
fbcdallas.org	Campaign_A
fbdevelopers.info	Campaign_A
fcsite.info	Campaign_A
file156desktop.info	Campaign_A
filimizlesene.com	Campaign_A
filmesubtitratehd.info	Campaign_A
filmzenstream.info	Campaign_A
fitsite.info	Campaign_A
flaitradar24.com	Campaign_A
flickpek.com	Campaign_A
flirtandmeeting.info	Campaign_A
flyightradar24.com	Campaign_A
fncbox.info	Campaign_A
fogoogle.com	Campaign_A
folsomlakecollege.org	Campaign_A
forcedgirls.com	Campaign_A
fordmotorscompany.com	Campaign_A
forthewomen.info	Campaign_A
foxsoccersports.com	Campaign_A
free-blank-sheet-music.com	Campaign_A
freebook4u.org	Campaign_A
freecitizenshiptest.org	Campaign_A
freedomvpn.info	Campaign_A
frgoogle.com	Campaign_A
friendster-graphics.com	Campaign_A
friendster-tweekers.com	Campaign_A
frostfire.com	Campaign_A
ftravelocity.com	Campaign_A
fullspa.net	Campaign_A
fultoncountyjail.com	Campaign_A
fun141.com	Campaign_A
funcake.com	Campaign_A
furniturex.net	Campaign_A
futurelectronics.com	Campaign_A
galleriat.info	Campaign_A
galleryofwives.com	Campaign_A
gamemachines.info	Campaign_A
gamezonewap.info	Campaign_A
gastronomiaunimonte.com	Campaign_A
gaya2.com	Campaign_A
gdesport.info	Campaign_A
gdshe.info	Campaign_A
geckos.info	Campaign_A
geneaguide.com	Campaign_A
gesund-macht-schlank.info	Campaign_A
getmyspacecomment.com	Campaign_A
get-templates.com	Campaign_A
gfaloa.info	Campaign_A
gid-burbon.info	Campaign_A
gigazu.net	Campaign_A
gi-metoden.info	Campaign_A
globaldew.info	Campaign_A
gogglegame.com	Campaign_A
golimogli.com	Campaign_A
golottery.com	Campaign_A
googeal.com	Campaign_A
google-docs.com	Campaign_A
googleespn.com	Campaign_A
googlemqil.com	Campaign_A
googleplaystoreapks.com	Campaign_A
googlevideosx.com	Campaign_A
googm.com	Campaign_A
goolew.com	Campaign_A
gridcollapse.org	Campaign_A
gripbuying.info	Campaign_A
gsmangel.com	Campaign_A
hacheval.com	Campaign_A
hackersclub.com	Campaign_A
handelspartner-gesucht.info	Campaign_A
happilymarriedafter.org	Campaign_A
haxoff.info	Campaign_A
hazletonymcaywca.org	Campaign_A
hdcum.com	Campaign_A
hdfjghc.info	Campaign_A
hdhypnosis.com	Campaign_A
healthdietoffers.info	Campaign_A
hentai-anime.net	Campaign_A
hjdf.info	Campaign_A
hmpscience.com	Campaign_A
hoaian.net	Campaign_A
homeamericanexpress.com	Campaign_A
homefinderconnect.com	Campaign_A
homewoodsuits.com	Campaign_A
hooshman-isp.com	Campaign_A
hoota.net	Campaign_A
hospitalgifts.info	Campaign_A
hotandawesome.com	Campaign_A
hotelpuertadelmar.com	Campaign_A
hotpinoyplanet.com	Campaign_A
hotsexypicture.com	Campaign_A
hotteenasia.com	Campaign_A
hotxtube.info	Campaign_A
house45.com	Campaign_A
huffmanhomesforsale.info	Campaign_A
hugehentai.com	Campaign_A
humoristique.info	Campaign_A
hutogepszerviz.info	Campaign_A
igamarketplace.com	Campaign_A
ilcorsaroblu.info	Campaign_A
imagenesbonitas.info	Campaign_A
immotirabassi.com	Campaign_A
impactodedios.com	Campaign_A
inaru.co.il	Campaign_A
indirelim.org	Campaign_A
inewcontentdelivery.info	Campaign_A
inforem.info	Campaign_A
infowara.com	Campaign_A
inovasy.info	Campaign_A
inspirationalwordsofwisdom.com	Campaign_A
internetlawlac.org	Campaign_A
internetsms.org	Campaign_A
ipardpa.com	Campaign_A
ispsecure.info	Campaign_A
isreal.org	Campaign_A
i-standart.info	Campaign_A
itishnik.info	Campaign_A
itthartford.com	Campaign_A
ittunes.com	Campaign_A
izayoinet.info	Campaign_A
jaffebros.com	Campaign_A
jazmincam.com	Campaign_A
jcpennet.net	Campaign_A
jcpenneyshomestore.com	Campaign_A
jerusalem-map.com	Campaign_A
jetstarairline.com	Campaign_A
jhonnysins.com	Campaign_A
jimmijazz.com	Campaign_A
jizzonlines.com	Campaign_A
jocuricumasini.info	Campaign_A
joesclassicmovies.com	Campaign_A
joker7777.info	Campaign_A
jopincyprus.com	Campaign_A
juancpapro.info	Campaign_A
judaicaworldwide.com	Campaign_A
junaldpascua.info	Campaign_A
justforcurves.com	Campaign_A
justyoungteens.com	Campaign_A
kakatuz.com	Campaign_A
kamikazi.info	Campaign_A
kapihospitel.com	Campaign_A
kaplatoys.com	Campaign_A
kartagina.info	Campaign_A
kayjewler.com	Campaign_A
kbpcollegevashi.net	Campaign_A
kbuzz.info	Campaign_A
keeco.com	Campaign_A
kellemarie.com	Campaign_A
kentstateuniversity.com	Campaign_A
kerman94.com	Campaign_A
kessler2u.com	Campaign_A
khuds.com	Campaign_A
kiain.info	Campaign_A
kidsxxx.com	Campaign_A
kingmonology.info	Campaign_A
kinoclub.org	Campaign_A
kinorutor.info	Campaign_A
kivitie.com	Campaign_A
kreditmotor.info	Campaign_A
kstreaming.org	Campaign_A
kumis.info	Campaign_A
lancerweb.com	Campaign_A
landrovermalaysia.com	Campaign_A
lapalabravivaint.org	Campaign_A
lastminurte.com	Campaign_A
lasydlazycia.info	Campaign_A
lauritch.com	Campaign_A
leadinglifestyles.info	Campaign_A
lezz.info	Campaign_A
limewire.info	Campaign_A
lindsaysfurnaturemill.com	Campaign_A
linesports.info	Campaign_A
linguaxl.com	Campaign_A
linksfree.info	Campaign_A
links-protect.com	Campaign_A
linuxsky.org	Campaign_A
littlegirlsnude.com	Campaign_A
live-cric.com	Campaign_A
livefilm.info	Campaign_A
livejounral.com	Campaign_A
lizthompson.info	Campaign_A
localfarmersdelivery.com	Campaign_A
logdelnarco.com	Campaign_A
longandstrong.info	Campaign_A
loreaparisusa.com	Campaign_A
lowea.info	Campaign_A
lowfareticket.net	Campaign_A
lspeed.info	Campaign_A
lyrics1.info	Campaign_A
maccoubreys.com	Campaign_A
macinformativo.info	Campaign_A
magjan.com	Campaign_A
mateszalka.info	Campaign_A
mathesbrothers.com	Campaign_A
mayinxamal.com	Campaign_A
mazilla.org	Campaign_A
mbfans.info	Campaign_A
mdavos.com	Campaign_A
meetoyen.info	Campaign_A
meetthin.info	Campaign_A
meiratboutique.com	Campaign_A
melonfresh.info	Campaign_A
metalstatic.info	Campaign_A
midwestsportsevents.com	Campaign_A
mimixp.com	Campaign_A
misuu.com	Campaign_A
mobcenrt.info	Campaign_A
mobile-de.info	Campaign_A
mobilewinice.info	Campaign_A
moe-lovers.net	Campaign_A
morphonebrities.info	Campaign_A
morrisonproductions.net	Campaign_A
muhs.org	Campaign_A
muscleandfitnessforum.com	Campaign_A
my-cable-tv.net	Campaign_A
mycrikethighlight.com	Campaign_A
mydogecoin.info	Campaign_A
my-gameon.com	Campaign_A
mympband.com	Campaign_A
mynetworkingpro.com	Campaign_A
myspacelayoutssupport.com	Campaign_A
nauchim.info	Campaign_A
nepspin.com	Campaign_A
newflashupdates.com	Campaign_A
newsdomains.info	Campaign_A
news-health.info	Campaign_A
news-morita.info	Campaign_A
newspolovb.info	Campaign_A
ninaloca.com	Campaign_A
ninesmsn.com	Campaign_A
nissian.com	Campaign_A
non-verbal.info	Campaign_A
notesj3bit.info	Campaign_A
noypirazzi.com	Campaign_A
nrpg.info	Campaign_A
nwgat.info	Campaign_A
nymburk.net	Campaign_A
nzdi.info	Campaign_A
ocane.info	Campaign_A
odewsk.com	Campaign_A
officialgregorygorgeous.com	Campaign_A
ofroderstukon.info	Campaign_A
oserodskole.com	Campaign_A
palace-theatre.info	Campaign_A
papuyyar.com	Campaign_A
patiskcontentdelivery.info	Campaign_A
pcsvision.com	Campaign_A
pd4me.info	Campaign_A
pennsound.com	Campaign_A
pextds.info	Campaign_A
photofaceframe.com	Campaign_A
picklequeen.com	Campaign_A
picspond.com	Campaign_A
pinteret.com	Campaign_A
playtetris.org	Campaign_A
playwhe.com	Campaign_A
plexamedia.info	Campaign_A
poderwap.info	Campaign_A
polosceudjss.info	Campaign_A
poquosonsports.org	Campaign_A
porgressiveinsurance.com	Campaign_A
portablesoft.info	Campaign_A
predocontentdelivery.info	Campaign_A
privateteenmovies.com	Campaign_A
proalliance.com	Campaign_A
procareusa.com	Campaign_A
prokabbadi.com	Campaign_A
protectninow.info	Campaign_A
prouamarket.info	Campaign_A
proxysmart.info	Campaign_A
python-os.info	Campaign_A
pythorium.com	Campaign_A
qchomesforrent.com	Campaign_A
quieresligar.com	Campaign_A
quiosconline.com	Campaign_A
r33n0.info	Campaign_A
raeuchermischungen24.info	Campaign_A
ragnarokcs.com	Campaign_A
rahasianadiamuetia.com	Campaign_A
rapidjob.info	Campaign_A
rapidsharegenerator.com	Campaign_A
raport-wsi.info	Campaign_A
raybanonlineshop.com	Campaign_A
readysetglow.com	Campaign_A
realestatemarketers.info	Campaign_A
recessgobananas.com	Campaign_A
rediffmaul.com	Campaign_A
redirect4.info	Campaign_A
regularrape.com	Campaign_A
rentshop.org	Campaign_A
resentaticexhaus.info	Campaign_A
restaurant-olympe.com	Campaign_A
retete-culinare.info	Campaign_A
rewctr.info	Campaign_A
riocentral.com	Campaign_A
riskijatt.com	Campaign_A
riverusers.com	Campaign_A
rollingdesk.info	Campaign_A
romanreignsfanwwe.info	Campaign_A
r-t-t.info	Campaign_A
rubias59.com	Campaign_A
rumahdanisa.com	Campaign_A
rumobi.info	Campaign_A
samscclub.com	Campaign_A
sandritherthepbut.info	Campaign_A
sanews.com	Campaign_A
sareepoint.com	Campaign_A
satangay.com	Campaign_A
savegather.info	Campaign_A
scholaship-positions.com	Campaign_A
scionc.org	Campaign_A
sconcentpract.info	Campaign_A
sdtgs.info	Campaign_A
searchduck.net	Campaign_A
sedatorslegallock.info	Campaign_A
seekband.info	Campaign_A
selectday4you.info	Campaign_A
semester.net	Campaign_A
senecyt.com	Campaign_A
series-vostfr.com	Campaign_A
sewfit.com	Campaign_A
sexmeet.info	Campaign_A
sexs-foto.info	Campaign_A
sexyandfunnt.com	Campaign_A
sfdbogota.info	Campaign_A
sfinkswakacje.com	Campaign_A
sghdw.info	Campaign_A
shinyuin.com	Campaign_A
shlink.info	Campaign_A
shophieparis.com	Campaign_A
showerstall.org	Campaign_A
sidereelz.com	Campaign_A
siji3.info	Campaign_A
siltgrip.info	Campaign_A
simgirl.org	Campaign_A
sinnfindung.info	Campaign_A
sinvirgins.com	Campaign_A
sneaker-shop08.com	Campaign_A
sodestream.com	Campaign_A
sodexorh.com	Campaign_A
softingappps.info	Campaign_A
sokkkhhuaraa.com	Campaign_A
solomuzika.com	Campaign_A
southwestairliones.com	Campaign_A
speedwest.info	Campaign_A
spieleaffe.info	Campaign_A
spouscontentdelivery.info	Campaign_A
spreekwoorden.info	Campaign_A
srpl.info	Campaign_A
ssmatomeantenna.info	Campaign_A
sterlingxxx.com	Campaign_A
stevenavery.org	Campaign_A
stifflinks.com	Campaign_A
storegoogle.com	Campaign_A
stylezbycent.com	Campaign_A
subsidios.info	Campaign_A
sumariados.info	Campaign_A
sweeps101.info	Campaign_A
swouthwest.com	Campaign_A
synaptrixgroup.com	Campaign_A
taboomoms.com	Campaign_A
tajnatvorchestva.info	Campaign_A
tangmaythutam.com	Campaign_A
taqqed.com	Campaign_A
tchibo-de.com	Campaign_A
televisaenvivo.org	Campaign_A
tenkionline.com	Campaign_A
termiix.com	Campaign_A
textvnz.info	Campaign_A
thailandating.net	Campaign_A
thapiratebay.org	Campaign_A
thehatsite.com	Campaign_A
thehuhn.net	Campaign_A
thenmetouch.info	Campaign_A
thentouchme.info	Campaign_A
thriftyfloridamama.net	Campaign_A
thuthuatpro.info	Campaign_A
tic-parchi.com	Campaign_A
tkschools.com	Campaign_A
tlabots.com	Campaign_A
tnggz.info	Campaign_A
toadot.com	Campaign_A
todayfootball.info	Campaign_A
todoensobrepesoyobesidad.org	Campaign_A
tokoprdia.com	Campaign_A
tommyjhon.com	Campaign_A
tommyusedcars.com	Campaign_A
tongdaigiaidapthongtin.info	Campaign_A
top55.info	Campaign_A
toptest.info	Campaign_A
toreentsmd.com	Campaign_A
torrentim.com	Campaign_A
tosec.info	Campaign_A
tourismconference.info	Campaign_A
toursoftwarebulk.com	Campaign_A
townandcountrydiscountfurniture.com	Campaign_A
toy-terrier.info	Campaign_A
tr13design.info	Campaign_A
traduction-en-ligne.com	Campaign_A
travelersales.info	Campaign_A
trkmilitirodje.info	Campaign_A
trkospeciso.info	Campaign_A
